Entry	Status	Gene ontology (cellular component)
A0A0K3AUU0	unreviewed	
Q20062	unreviewed	cytoplasm [GO:0005737]
A0A0K3AUY4	unreviewed	
O16519	reviewed	nucleus [GO:0005634]; site of double-strand break [GO:0035861]
A0A0K3AV08	reviewed	intracellular [GO:0005622]
J7SF93	unreviewed	nucleus [GO:0005634]
O17583	reviewed	cell junction [GO:0030054]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; Golgi apparatus [GO:0005794]; Golgi cisterna membrane [GO:0032580]; Golgi trans cisterna [GO:0000138]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; plasma membrane [GO:0005886]; synapse [GO:0045202]; trans-Golgi network transport vesicle [GO:0030140]
Q10457	reviewed	cytosol [GO:0005829]
Q45FX5	reviewed	intracellular [GO:0005622]
Q9NA61	unreviewed	
A0A0K3AVK9	unreviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
P45896	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; transcription factor complex [GO:0005667]
A0A0K3AX46	unreviewed	
Q21307	reviewed	cytoplasm [GO:0005737]
Q9XXI0	unreviewed	
A0A0K3AY27	unreviewed	
Q9N537	unreviewed	
A0A0K3AYL9	unreviewed	
Q09390	reviewed	cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]
A0A0M7RF51	unreviewed	integral component of membrane [GO:0016021]
Q23158	unreviewed	striated muscle dense body [GO:0055120]; striated muscle thin filament [GO:0005865]
A0A0S4XR43	unreviewed	
G5EGG0	unreviewed	endoplasmic reticulum [GO:0005783]; ER to Golgi transport vesicle membrane [GO:0012507]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]
H2L0F6	unreviewed	
O01482	unreviewed	
O02108	reviewed	cytoplasm [GO:0005737]
Q18012	unreviewed	
Q18967	reviewed	eukaryotic 43S preinitiation complex [GO:0016282]; eukaryotic 48S preinitiation complex [GO:0033290]; eukaryotic translation initiation factor 3 complex, eIF3m [GO:0071541]
Q19872	unreviewed	
Q20678	reviewed	exocyst [GO:0000145]; plasma membrane [GO:0005886]
Q22886	unreviewed	
Q9U304	unreviewed	
A0A131MCL4	unreviewed	
O45521	reviewed	nucleus [GO:0005634]
Q2XMY3	unreviewed	
A0FLQ8	unreviewed	nucleus [GO:0005634]
G5ECU1	reviewed	
O01488	unreviewed	BORC complex [GO:0099078]
A0PD34	unreviewed	
G5ED33	unreviewed	apical part of cell [GO:0045177]; brush border [GO:0005903]; hemidesmosome [GO:0030056]; intracellular [GO:0005622]; plasma membrane [GO:0005886]
A0SQM0	reviewed	nucleus [GO:0005634]
Q22289	reviewed	nucleus [GO:0005634]; transcription factor complex [GO:0005667]
A1EHR5	unreviewed	integral component of plasma membrane [GO:0005887]
O17917	reviewed	nucleus [GO:0005634]; U2-type spliceosomal complex [GO:0005684]
A3QM99	unreviewed	
A3QMB3	unreviewed	
A4UVJ7	unreviewed	
Q9U9Y8	reviewed	cell cortex [GO:0005938]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; serine/threonine protein kinase complex [GO:1902554]
A5JYT7	unreviewed	integral component of membrane [GO:0016021]
G5EE56	reviewed	cell projection [GO:0042995]; contractile fiber [GO:0043292]; extrinsic component of cytoplasmic side of plasma membrane [GO:0031234]; phagocytic cup [GO:0001891]
P03949	reviewed	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]
A5JYT9	unreviewed	
G5EET5	unreviewed	nuclear heterochromatin [GO:0005720]; nucleus [GO:0005634]
