A0A0B4JD44	GO:0034976
Q9V9N9	
Q9VNF8	GO:0071711,GO:0040003,GO:0035293,GO:0090114,GO:0007029,GO:0007030,GO:0006886,GO:0008363,GO:0035149,GO:0030011,GO:0016203,GO:0022409,GO:0048081,GO:0050775,GO:0003331,GO:0043547,GO:0034394,GO:0072659,GO:0008360,GO:0003400
A0A0B4JDA4	
Q9U4U5	GO:0090630,GO:0046578,GO:0007264
A0A0B4JDC9	GO:0048789,GO:0007274,GO:1990709
Q8SX59	
Q9VCV9	GO:0003012
Q9VDI5	GO:0032504
Q9VLS8	GO:0009312,GO:0006486,GO:0006487,GO:0008039
Q9VQW4	
A0A0B4K651	GO:0009992,GO:0006884,GO:0006821
Q9VED8	GO:0006309,GO:0006308,GO:0045476
A0A0B4K692	GO:0006508,GO:0046692
Q7KRS6	GO:0060271,GO:0042073,GO:1905515,GO:0008104,GO:0007605
Q8MLW7	GO:0030968,GO:0036335,GO:1900103,GO:0006990,GO:0036490,GO:0034976,GO:0006366
A0A0B4K6E6	GO:0048149
A1Z8K2	GO:0006355,GO:0006351
A0A0B4K6P1	GO:0048813,GO:0007399,GO:0006355,GO:0007605
P19538	GO:0007350,GO:0035017,GO:0048813,GO:0048592,GO:0035224,GO:0060914,GO:0035217,GO:0002385,GO:0048477,GO:0030707,GO:0030858,GO:1900087,GO:1904263,GO:0045944,GO:0007346,GO:0006355,GO:0007367,GO:0007224,GO:0035277,GO:0048100
Q9VQQ9	GO:0007298,GO:0035147,GO:0007349,GO:0032456,GO:0001927,GO:0043001,GO:0006893,GO:0045087,GO:0000281,GO:0010629,GO:0007269,GO:0048599,GO:0048215,GO:0071896,GO:0072697,GO:0072657,GO:0072659,GO:0060074,GO:0016081,GO:0016080,GO:0045056,GO:0016192
A0A0B4K6W9	GO:0008587,GO:0008586,GO:0006397,GO:0007319,GO:0008103,GO:0007286,GO:0007291
B7Z143	GO:0010468
E2QCN0	GO:0007275
F3YDG4	
O17144	GO:0045737,GO:1901409,GO:0045944,GO:0006468,GO:0000079,GO:0006366,GO:0006367
O46070	
O61661	GO:0007050,GO:0007349,GO:0051299,GO:0000077,GO:0001700,GO:0016321,GO:0007444,GO:0035556,GO:0007093,GO:0033314,GO:0006468,GO:0007348,GO:0009314,GO:0051225,GO:0042060
O76876	GO:0042742
O77051	GO:0042023,GO:0007113,GO:0000082,GO:0007444,GO:0043066,GO:0008156,GO:2000134,GO:0045892,GO:0000122,GO:0048477,GO:0045944,GO:0051726
P14785	GO:0055059,GO:0000278,GO:0000070,GO:0045841,GO:0007422,GO:0045787,GO:1902808,GO:0008284,GO:0006468,GO:0035561,GO:0000079,GO:0007096,GO:0009794,GO:0007088,GO:0035186
Q24159	GO:0007293,GO:0000278,GO:0045448,GO:0045787,GO:0008284,GO:0006468,GO:0000079,GO:0060966,GO:0007088
Q7JZB4	GO:0009298,GO:0035167
Q7KT57	GO:0046843,GO:0031047,GO:0048477
Q8INB9	GO:0006915,GO:0032869,GO:0008362,GO:0042632,GO:0007623,GO:0031104,GO:0007427,GO:0008286,GO:0035556,GO:0006629,GO:0060292,GO:0035264,GO:0007520,GO:0043066,GO:1901215,GO:0090278,GO:0045886,GO:1904262,GO:0010897,GO:0048477,GO:0007424,GO:0018105,GO:0048680,GO:0030307,GO:0008284,GO:0045793,GO:0010884,GO:0046622,GO:1904263,GO:0006468,GO:0050773,GO:0035206,GO:0040014,GO:0006979,GO:0007525,GO:0048010
Q95TJ9	GO:0051301,GO:0006302,GO:0060429,GO:0007143,GO:0000711,GO:0000278,GO:0007275,GO:2000134,GO:0045787,GO:0008284,GO:0045927,GO:0046628,GO:0051897,GO:0006468,GO:0000079,GO:0007088,GO:0008593
Q961D1	GO:0045737,GO:1901409,GO:0045944
Q9I7I7	GO:0008340,GO:0016575,GO:0070932,GO:0043066,GO:0008285,GO:0061428,GO:0006476
Q9VEH1	GO:0000705,GO:0051304,GO:0032837,GO:0016321,GO:0007143,GO:0051321,GO:0043060,GO:0033316,GO:0044779,GO:0007094,GO:0033046,GO:0006468,GO:0001666
Q9VHN1	GO:0051301,GO:0007113,GO:0000278,GO:0045737,GO:0007346
Q9VKW2	GO:0048749,GO:0042078,GO:0036335,GO:0035019
Q9VLW7	GO:0051301,GO:0071850,GO:0051256,GO:0035335,GO:0006470,GO:0007096
Q9VNM2	
Q9VTU3	GO:0007480,GO:2001136,GO:0051497,GO:0045887,GO:0007266,GO:0007370
Q9VVE3	GO:0006694
Q9W321	GO:0032922,GO:0048749,GO:0001745,GO:0000076,GO:0008347,GO:0030097,GO:0016573,GO:0043971,GO:0043974,GO:0051568,GO:0043983,GO:0043982,GO:0045475,GO:0007269,GO:0030707,GO:0045944,GO:0007464,GO:0045466,GO:0007088,GO:0007224,GO:0007416,GO:0040040,GO:0016055
V5LWW0	GO:0007275
A0A0B4K7I7	
Q9VWX7	GO:0006355,GO:0006351
Q9VY14	
A0A0B4K7J3	GO:0007015,GO:0032924,GO:0007448,GO:0030509,GO:0007304,GO:0001745,GO:0008101,GO:0050829,GO:0009953,GO:0042078,GO:0030718,GO:0007476,GO:0008358,GO:0030514,GO:0045824,GO:0030512,GO:0048477,GO:0030707,GO:0007300,GO:0007389,GO:0045887,GO:0006468,GO:0007179,GO:0035222
B5RIQ1	GO:0045010,GO:0016192
Q8INC3	
Q9U1K1	GO:0030036,GO:0030029,GO:0051639,GO:0007015,GO:0045010,GO:0007304,GO:0030717,GO:0048477,GO:0007315,GO:0045451,GO:0007316,GO:0015031,GO:0051493,GO:0016192
A0A0B4K7J4	GO:0007399
Q7JY89	
Q9V8W3	GO:0007049,GO:0006886,GO:0007269,GO:0018344,GO:0007264,GO:0016192
Q9VZR0	GO:0019359,GO:0046495
Q9W3X6	GO:0006106,GO:0006099
A0A0B4K7N1	GO:0008045
O46085	GO:0007031,GO:0016560,GO:0072347
Q94519	GO:0006633,GO:0009245,GO:0006120
A0A0B4K7S6	GO:0008340,GO:0006697,GO:0007616,GO:0045938
P18459	GO:0048085,GO:0008344,GO:0009072,GO:0006584,GO:0007619,GO:0048067,GO:0048066,GO:0042416,GO:0042417,GO:0008049,GO:0042136,GO:0048082,GO:2000274,GO:0009611,GO:0040040,GO:0043052,GO:0035220
Q9W279	GO:0043161,GO:0030162,GO:0006511
A0A0B4K852	GO:0008343,GO:0007411,GO:0008340,GO:0006397
A0A0B4LGD0	
Q8INQ9	GO:0007475,GO:0007391,GO:0009880,GO:0008258,GO:0046329
Q8WS79	GO:0005975,GO:0006357,GO:0007283,GO:0006351
Q9V3B8	GO:0007411,GO:0045666
Q9VAI3	
Q9VWN9	GO:1902667
Q9VZ60	
A0A0B4KEZ3	
O16797	GO:0002181,GO:0000027
P08570	GO:0002181,GO:0006414
Q02748	GO:0048132,GO:0030718,GO:0007446,GO:0002168,GO:0000278,GO:0048477,GO:0007279,GO:0000381,GO:0006413
Q26263	GO:0008344,GO:0030154,GO:0007549,GO:0008345,GO:0010629,GO:0045892,GO:0000122,GO:0014019,GO:0007219,GO:0045840,GO:0002052,GO:1902692,GO:0050767,GO:0007530,GO:0007540,GO:0001756
Q8IQG1	GO:0000902,GO:0007616,GO:0045886,GO:0042052
Q9VKX2	GO:0005975,GO:0006108,GO:0006734,GO:0006107,GO:0055114,GO:0006099
Q9VNS4	
Q9VUH9	GO:0035194
Q9VWQ2	GO:0035556,GO:0006468
Q9VYA4	
Q9W1K5	GO:0000422,GO:0071230,GO:0071233,GO:1990253,GO:0010259,GO:0030308,GO:1904262,GO:0016239,GO:2000377,GO:1901031
A0A0B4KGY6	GO:0033120,GO:0000381
A4IJ59	GO:0040040
P33244	GO:0008219,GO:0048813,GO:0009755,GO:0007480,GO:0002165,GO:0035626,GO:0055088,GO:0007552,GO:0016319,GO:0016322,GO:0045944,GO:0035073,GO:0035074,GO:0040034,GO:0006355,GO:0006357,GO:0035075,GO:0009725,GO:0009888
Q24491	GO:0045292,GO:0000381,GO:0010468,GO:0031440,GO:0001178
Q7KHL0	GO:0035107,GO:0045165,GO:0008283,GO:0007446,GO:0000381
Q9VJ53	
A0A0B4KHH8	GO:0046843,GO:0000398,GO:0045886,GO:0007310,GO:1900073,GO:0046011
A8JNS0	GO:0006508
A0A0B4KI23	GO:0040003
Q95RB2	GO:0040003
A1Z6J6	
A1Z8W1	
A8DYE4	GO:0035556,GO:0045793
A8DZ19	GO:0043547,GO:0035332,GO:0046620,GO:0035023,GO:0050807
A8JNL9	GO:0006355
A8JR00	
B7Z028	GO:0006635,GO:0033540,GO:0055088
Q9VR35	GO:0036099,GO:0045727,GO:1901190
M9ND89	GO:0031532,GO:0000915,GO:0032456,GO:0007017,GO:0016360,GO:0048190
O46106	GO:0009566,GO:0000278,GO:0000398
P15330	GO:0009952,GO:0006952,GO:0009950,GO:0009953,GO:0001715,GO:0007398,GO:0010004,GO:0008354,GO:0007507,GO:0007249,GO:0006955,GO:0006954,GO:0035006,GO:0007501,GO:0007498,GO:0010629,GO:0045892,GO:0000122,GO:0038061,GO:0048935,GO:0042387,GO:0006964,GO:0045893,GO:0045944,GO:0000381,GO:0035206,GO:0006355,GO:0034097,GO:0008063,GO:0007419
P17886	GO:0008366,GO:0008347,GO:0007443,GO:0000398,GO:0007438,GO:0000381,GO:0000245
P35415	GO:0007498,GO:0030239
P54361	GO:0007275,GO:0045732
Q0E993	GO:0006438
Q24312	GO:0007527,GO:0007417,GO:0007560,GO:0007517,GO:0045886,GO:0090263,GO:0006357
Q24558	GO:0006310,GO:0000706,GO:0006298
Q24564	GO:0009798,GO:0007267,GO:0001745,GO:0001751,GO:0008101,GO:0032456,GO:0006897,GO:0007112,GO:0051307,GO:0008285,GO:0060253,GO:0046621,GO:0019094,GO:0043065,GO:0035332,GO:0001934,GO:0072659,GO:0045595,GO:0001558,GO:0042127,GO:0046669,GO:0009966,GO:0007283,GO:0007291
Q7K4X4	
Q7KMJ6	GO:0030154,GO:0048749,GO:0080009,GO:0000398,GO:2000737,GO:0090263,GO:0010628,GO:0000381,GO:0007548,GO:0035222
