A0A0B4JD44	GO:0005783,GO:0016021
Q9V9N9	
Q9VNF8	GO:0030134,GO:0030127,GO:0005783,GO:0070971,GO:0005789,GO:0000139,GO:0005795
A0A0B4JDA4	GO:0016021
Q9U4U5	GO:0005622
A0A0B4JDC9	GO:0048788,GO:0031594,GO:0098831
Q8SX59	
Q9VCV9	
Q9VDI5	GO:0005615
Q9VLS8	GO:0005783,GO:0005794,GO:0016021
Q9VQW4	
A0A0B4K651	GO:0034707,GO:0005887
Q9VED8	
A0A0B4K692	GO:0005615,GO:0016021,GO:0005886
Q7KRS6	GO:0005814,GO:0036064,GO:0097546,GO:0005929,GO:0030990,GO:0030992,GO:0097730
Q8MLW7	GO:0030176,GO:0005634
A0A0B4K6E6	
A1Z8K2	GO:0005634
A0A0B4K6P1	
P19538	GO:0005737,GO:0005829,GO:0035301,GO:0016020,GO:0005654,GO:0005634,GO:0032991
Q9VQQ9	GO:0005642,GO:0005938,GO:0030136,GO:0005737,GO:0000145,GO:0031594,GO:0005886,GO:0098793,GO:0055037,GO:0016028,GO:0035003
A0A0B4K6W9	GO:0005737,GO:0005829,GO:0005634,GO:1990904
B7Z143	GO:0005737,GO:0034399,GO:0005654,GO:0005634
E2QCN0	GO:0005634
F3YDG4	GO:0005634
O17144	GO:0032806,GO:0000307,GO:0005634,GO:0005675,GO:0070985
O46070	
O61661	GO:0005737,GO:0005829,GO:0005634
O76876	GO:0005737,GO:0005829,GO:0005634,GO:1990904
O77051	GO:0000785,GO:0031523,GO:0035189,GO:0090575
P14785	GO:0000307,GO:0005737,GO:0005634,GO:0045170
Q24159	GO:0000307,GO:0005737,GO:0005634
Q7JZB4	
Q7KT57	GO:0043186
Q8INB9	GO:0005938,GO:0005829,GO:0043025,GO:0005634,GO:0005886
Q95TJ9	GO:0000307,GO:0005737,GO:0005634,GO:0005700
Q961D1	GO:0000307,GO:0005634
Q9I7I7	GO:0005694,GO:0005737,GO:0005634
Q9VEH1	GO:0005813,GO:0000942,GO:0000776,GO:0005819
Q9VHN1	GO:0000307,GO:0019005
Q9VKW2	
Q9VLW7	GO:0005813,GO:0005737,GO:0072686,GO:0005634
Q9VNM2	
Q9VTU3	GO:0005769,GO:0055037
Q9VVE3	GO:0016021
Q9W321	GO:0000123,GO:0035097,GO:0005654,GO:0005634,GO:0005700,GO:0098793,GO:0032991
V5LWW0	GO:0005634
A0A0B4K7I7	
Q9VWX7	GO:0005634
Q9VY14	
A0A0B4K7J3	GO:0048179,GO:0005887,GO:0005886,GO:0043235
B5RIQ1	
Q8INC3	GO:0016459,GO:0030017
Q9U1K1	GO:0005938,GO:0005737,GO:0030659,GO:0005856,GO:0048471,GO:0005886
A0A0B4K7J4	GO:0031362,GO:0009897,GO:0043235
Q7JY89	
Q9V8W3	GO:0005818,GO:0005737,GO:0016020,GO:0048471,GO:0005968,GO:0000922,GO:0008021
Q9VZR0	GO:0005737
Q9W3X6	GO:0005737,GO:0005739,GO:0045239
A0A0B4K7N1	GO:0016021
O46085	GO:0005829,GO:0016021,GO:0005778,GO:0005777
Q94519	GO:0005829,GO:0005739,GO:0070469
A0A0B4K7S6	GO:0005634
P18459	
Q9W279	GO:0005737,GO:0005634
A0A0B4K852	GO:0005654
A0A0B4LGD0	
Q8INQ9	GO:0031252,GO:0005925
Q8WS79	GO:0005634
Q9V3B8	
Q9VAI3	
Q9VWN9	GO:0031462
Q9VZ60	
A0A0B4KEZ3	
O16797	GO:0022625
P08570	GO:0022625,GO:0022626
Q02748	GO:0005829,GO:0016281,GO:0005634,GO:0043186
Q26263	GO:0005634
Q8IQG1	GO:0070451,GO:0071944,GO:0005737,GO:0005634,GO:0005886,GO:0016028
Q9VKX2	GO:0005829,GO:0005777
Q9VNS4	
Q9VUH9	GO:0005829,GO:0043186
Q9VWQ2	GO:0005737,GO:0005634
Q9VYA4	GO:0005634
Q9W1K5	GO:0005737,GO:0005634
A0A0B4KGY6	GO:0005829,GO:0005634
A4IJ59	
P33244	GO:0005737,GO:0005634,GO:0090575
Q24491	GO:0005634
Q7KHL0	GO:0000785,GO:0005737,GO:0005634,GO:0035062,GO:1990904
Q9VJ53	
A0A0B4KHH8	GO:0005634,GO:0098975,GO:0071011,GO:0035770
A8JNS0	GO:0005615
A0A0B4KI23	GO:0031012
Q95RB2	GO:0031012
A1Z6J6	
A1Z8W1	
A8DYE4	GO:0005622
A8DZ19	GO:0097482
A8JNL9	GO:0005634
A8JR00	
B7Z028	GO:0005777
Q9VR35	GO:0005737,GO:0034518
M9ND89	GO:0045179,GO:0005813,GO:0032154,GO:0030139,GO:0005875,GO:0030496,GO:0048471,GO:0055038
O46106	GO:0071013,GO:0071011,GO:0005681,GO:0005686
P15330	GO:0005737,GO:0005829,GO:0031594,GO:0005654,GO:0005634,GO:0071212
P17886	GO:0071013,GO:0005737,GO:0016607,GO:0005634,GO:0071014,GO:0071011,GO:0000974
P35415	GO:0030016,GO:0032982
P54361	GO:0005737,GO:0005829,GO:0005654,GO:0005634
Q0E993	GO:0005737
Q24312	GO:0005634
Q24558	GO:0005634
Q24564	GO:0005912,GO:0045179,GO:0016324,GO:0005911,GO:0005938,GO:0005737,GO:0098592,GO:0005856,GO:0036375,GO:0016020,GO:0016006,GO:0005886
Q7K4X4	
Q7KMJ6	GO:0005634,GO:0071011,GO:0036396
Q8IPW1	GO:0005622,GO:0005886,GO:0045202
Q8IR14	GO:0005737
Q8IRI7	
Q9GYU8	GO:0000785,GO:0005635,GO:0031965,GO:0005643,GO:0005654
Q9W3N6	GO:0005783,GO:0005789,GO:0012507,GO:0032580,GO:0005795
Q9V3M9	GO:0005875,GO:0036126
Q9V785	GO:0005737,GO:0005886
Q9VAA1	GO:0005622
Q9VCE6	GO:0016607,GO:0005634,GO:0036396
Q9VCU7	GO:0005737,GO:0043186,GO:0070725
Q9VD71	
Q9VDG2	GO:0005622,GO:0016020
Q9VDS5	GO:0005737,GO:0005622,GO:0031594
Q9VDV3	GO:0005643
Q9VF37	GO:0000795
Q9VF72	
Q9VHG0	GO:0000785,GO:0005634
Q9VHV1	
Q9VL65	
Q9VLB2	
Q9VLJ8	GO:0005737,GO:0005829,GO:0019008
Q9VML8	
Q9VMQ8	GO:0005829,GO:0000938,GO:0005794,GO:0055037,GO:0005802
Q9VNK8	
Q9VPS5	GO:0005829,GO:0005759,GO:0005739
Q9VQK1	
Q9VR24	
Q9VR99	GO:0071013
Q9VRQ6	
Q9VSB2	
Q9VT94	GO:0005737,GO:0000151
Q9VUL2	GO:0031314
Q9VV90	
Q9VZQ7	
Q9W0V5	
Q9W289	GO:0005801,GO:0005783,GO:0005794,GO:0000137,GO:0032580,GO:0005795
Q9W2J7	GO:0016021,GO:0043025
Q9W3K6	
Q9W3Z4	
Q9W403	GO:0005634
Q9W4E0	GO:0016021
Q9W4I4	GO:0005634
Q9XYM0	
Q9Y103	GO:0071013,GO:0071011,GO:0005681,GO:0071008
X2JDN0	GO:0005634
A0A0B4LH08	GO:0005622
Q7JZZ3	
A0A0B7P9G0	GO:0005623,GO:0016021
Q9VSY8	GO:0033106,GO:0005737,GO:0005829,GO:0005783,GO:0005794,GO:0030008
A0A0C4DHA6	GO:0030014,GO:0005737
Q9VCU8	
Q9VX24	
Q9W255	GO:0071013,GO:0005634,GO:0071011
A0A0C4DHB0	
P49071	GO:0005737,GO:0005634
Q9V3G9	
Q9V468	GO:0005634
Q9V4F4	GO:0005615
Q9VAU6	
Q9VSP8	GO:0030015,GO:0000932
A0A0C4DHD7	GO:0005622
A1ZBT3	
P02517	GO:0005737
Q23993	GO:0005737,GO:0005634
Q24175	GO:0019898
Q4V5L1	
Q7KUU5	GO:0005739
Q7KWG9	GO:0005777
Q9VK21	
Q9VV44	GO:0031012
Q9VYQ8	GO:0005829,GO:0005634,GO:0005700,GO:0032991,GO:0035328
A0A126GUP6	
Q9VU13	GO:0031012,GO:0005615,GO:0016021
A0AQH0	GO:0005737,GO:0005634,GO:0000502,GO:0005839,GO:0019774
O61443	GO:0005737,GO:0005634
Q0E8X9	GO:0005839
Q9VHG1	GO:0005776,GO:0033263,GO:0005829,GO:0005768,GO:0030897,GO:0005764
A0AVV3	GO:0005634
O18404	GO:0005829,GO:0030678,GO:0005739
Q94901	GO:0071013,GO:0005737,GO:0005829,GO:0005634,GO:0071011
Q9VJN5	GO:0005829,GO:0005634,GO:0005886
Q9VKM6	GO:0035267,GO:0005634
Q9VNF6	GO:0000118,GO:0005654,GO:0016581
A1A714	GO:0016021
Q9VIY9	GO:0005634
A1YK56	GO:0005635,GO:0031080
O44424	GO:0071013,GO:0005634
P02844	GO:0005576
Q95TK5	GO:0005739
Q9VWG6	GO:0016021
Q9W2N5	GO:0005737,GO:0034657,GO:0005634
A1Z6E0	GO:0005938,GO:0031466,GO:0005737,GO:0070449,GO:0005634,GO:0048471,GO:0045495,GO:0019005
A1Z6K2	GO:0016021
A1Z7R9	
A1ZBL9	GO:0016323,GO:0005938,GO:0005737,GO:0045169,GO:0045172,GO:0031594,GO:0061174
B7Z0M0	GO:0005829,GO:0005789,GO:0012507,GO:0005794,GO:0016021,GO:0031902,GO:0031201
C6SUW9	GO:0005634
O97143	GO:0005814
P04412	GO:0009925,GO:0005737,GO:0005887,GO:0005886,GO:0043235
P05552	GO:0005634
P23573	GO:0000307,GO:0005737,GO:0005634
P25007	GO:0005737,GO:0005829,GO:0005634
P40657	GO:0044798,GO:0005634
P46824	GO:0005737,GO:0005871,GO:0005874
Q6AWH2	
Q7JWD6	GO:0031462,GO:0070449,GO:0005700,GO:0005705
Q7K306	GO:0005634
Q7KJ69	GO:0019005
Q8MQJ7	GO:1990316,GO:0005829,GO:0016020,GO:0043005,GO:0000407
Q961G6	
Q9I7K6	GO:0005654,GO:0005634
Q9V3M2	
Q9VC43	
Q9VCW3	GO:0016020,GO:0031080
Q9VCY7	GO:0030176,GO:0016021
Q9VCZ7	
Q9VD82	GO:0005634,GO:0070985
Q9VH69	GO:0022627,GO:0042788,GO:0005791
Q9VIF2	
Q9VJ55	
Q9VMA3	GO:0005737,GO:0005829,GO:0031594,GO:0005634,GO:0000932,GO:0043195
Q9VNE1	
Q9VQI9	GO:0032783,GO:0005634,GO:0035327,GO:0008023
Q9VVN4	GO:0005737
Q9W5N2	GO:0022625,GO:0022626
Q9XZC2	GO:0005634
A1Z6E8	GO:0031011
O77430	GO:0005829,GO:0019005
P11929	GO:0005813,GO:0000242
P54366	GO:0005634
Q0KHR4	GO:0005737
Q9V472	GO:0005634
Q9VBI1	GO:0000811,GO:0031298
Q9VCD5	GO:0005829,GO:0005654,GO:0000502
Q9VHM3	GO:0005634
Q9VI55	GO:0012505
Q9VIJ0	GO:0005829,GO:0005576
Q9VJ29	GO:0005829,GO:0005794
Q9VJB0	GO:0005634
Q9VJE7	
Q9VLT7	GO:0022625
Q9VR29	GO:0071013,GO:0071011
Q9VVC2	
Q9VXF4	
Q9W4K1	GO:0030123
Q9W5G0	
A1Z6G4	GO:0016021
P42570	GO:1902911,GO:1902554
P48609	GO:0005737,GO:0005829,GO:0005634,GO:0016533,GO:0045202
P91654	GO:0005739,GO:0005654,GO:0005634
Q24276	GO:0005737
Q9V9R2	GO:0031462,GO:0031461,GO:0048471
Q9VI13	GO:0031252,GO:0005737,GO:0005856,GO:0016328,GO:0097482,GO:0031594
Q9VIH1	GO:0000785,GO:0000781,GO:0000794,GO:0005662,GO:0035861
A1Z6G6	GO:0005737
Q9W5X9	GO:0005874
A1Z6G9	
A1Z6H0	GO:0016021,GO:0005919,GO:0005918
Q8SXP8	GO:0005737,GO:0031673,GO:0005654,GO:0005634,GO:0048471,GO:1990904
Q9VCR6	GO:0045179,GO:0045177,GO:0005911,GO:0005829
W8PHN8	GO:0005622
A1Z6H7	GO:0005737,GO:0016021,GO:0005643,GO:0044611,GO:0044615,GO:0070762
Q9VQA2	GO:0005615
A1Z6I7	GO:0000940,GO:0000778,GO:0005737,GO:0000776
O76523	GO:1990298,GO:0000776,GO:0033597,GO:0005654
P20439	GO:0005813,GO:0000775,GO:0000307,GO:0005737,GO:0005634,GO:0005819,GO:0051233
Q7K0W4	
Q867Z4	GO:0005654,GO:0005634
Q9U3Z7	GO:0031428,GO:0071011,GO:0030532,GO:0032040,GO:0046540
Q9V406	GO:0005634
Q9VHZ5	
Q9VKQ9	GO:0044665,GO:0044666,GO:0048188
Q9VXX8	GO:0022625
Q9W2M8	GO:0005762
Q9W4K2	GO:0005576
A1Z6J2	GO:0005789,GO:0000139,GO:0016021
Q9VHC2	GO:0005634
Q9VKF8	
Q9VSU2	GO:0005576,GO:0016020
Q9W1S7	
A1Z7G6	GO:0016020
A1Z8V2	
H1UUE3	
P10734	GO:0005634
P27398	GO:0005737,GO:0005622
P54622	GO:0000262,GO:0042645,GO:0005739,GO:0009295
Q03017	GO:0005737,GO:0005829,GO:0031594
Q86P91	GO:0012505,GO:0005794,GO:0000139,GO:0016021,GO:0005764,GO:0005886,GO:0098793,GO:0031201
Q8IPY9	GO:0016021,GO:0005743,GO:0005739,GO:0005634
Q8IRD1	
Q8STG9	GO:0012505,GO:0005783,GO:0005789,GO:0045169,GO:0016021,GO:0005791,GO:0005784
Q9VAC4	GO:0005737,GO:0005730,GO:0005654,GO:0005634
Q9VHM5	GO:0005634
Q9VIV3	GO:0005829
Q9VLT9	GO:0005737,GO:0005829,GO:0005654,GO:0005634
Q9VN89	GO:0005938,GO:0031252,GO:0005813,GO:0005694,GO:0005881,GO:0008352,GO:0000922
Q9VPG7	GO:0005737,GO:0005886
Q9VQ08	GO:0030424,GO:0016021
Q9VQE0	GO:0005737,GO:0016020,GO:0005875,GO:0031966,GO:0005739,GO:0098793
Q9VQI4	
Q9VRE6	GO:0032281,GO:0016021,GO:0005622,GO:0098839
Q9VTU4	GO:0005829,GO:0016282,GO:0033290,GO:0005852
Q9VTV7	
Q9VTW3	GO:0005634
