Entry	Status	Gene ontology (cellular component)
A0A0B4JD44	unreviewed	endoplasmic reticulum [GO:0005783]; integral component of membrane [GO:0016021]
Q9V9N9	unreviewed	
Q9VNF8	unreviewed	COPII-coated ER to Golgi transport vesicle [GO:0030134]; COPII vesicle coat [GO:0030127]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; Golgi stack [GO:0005795]
A0A0B4JDA4	unreviewed	integral component of membrane [GO:0016021]
Q9U4U5	unreviewed	intracellular [GO:0005622]
A0A0B4JDC9	unreviewed	cytoskeleton of presynaptic active zone [GO:0048788]; neuromuscular junction [GO:0031594]; presynaptic active zone cytoplasmic component [GO:0098831]
Q8SX59	unreviewed	
Q9VCV9	unreviewed	
Q9VDI5	unreviewed	extracellular space [GO:0005615]
Q9VLS8	unreviewed	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]
Q9VQW4	unreviewed	
A0A0B4K651	unreviewed	chloride channel complex [GO:0034707]; integral component of plasma membrane [GO:0005887]
Q9VED8	unreviewed	
A0A0B4K692	reviewed	extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
Q7KRS6	unreviewed	centriole [GO:0005814]; ciliary basal body [GO:0036064]; ciliary base [GO:0097546]; cilium [GO:0005929]; intraciliary transport particle [GO:0030990]; intraciliary transport particle B [GO:0030992]; non-motile cilium [GO:0097730]
Q8MLW7	unreviewed	integral component of endoplasmic reticulum membrane [GO:0030176]; nucleus [GO:0005634]
A0A0B4K6E6	unreviewed	
A1Z8K2	unreviewed	nucleus [GO:0005634]
A0A0B4K6P1	unreviewed	
P19538	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; Hedgehog signaling complex [GO:0035301]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q9VQQ9	reviewed	annulate lamellae [GO:0005642]; cell cortex [GO:0005938]; clathrin-coated vesicle [GO:0030136]; cytoplasm [GO:0005737]; exocyst [GO:0000145]; neuromuscular junction [GO:0031594]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; recycling endosome [GO:0055037]; rhabdomere [GO:0016028]; subapical complex [GO:0035003]
