A2AQR4	GO:0003676
Q6PGF3	GO:0003824,GO:0038023,GO:0046966,GO:0030375,GO:0003712
Q99PM3	GO:0003677,GO:0046982,GO:0001103,GO:0017025,GO:0008134
B2RWS6	GO:0016407,GO:0033613,GO:0050681,GO:0003823,GO:0008013,GO:0043425,GO:0003682,GO:0031490,GO:0003684,GO:0003677,GO:0001228,GO:0035259,GO:0004402,GO:0140069,GO:0140068,GO:0004468,GO:0051019,GO:0051059,GO:0035257,GO:0002039,GO:0140065,GO:0042975,GO:0097157,GO:1990841,GO:1990405,GO:0044877,GO:0008022,GO:0019901,GO:0061920,GO:0000987,GO:0001102,GO:0000978,GO:0001085,GO:0046332,GO:0097677,GO:0003713,GO:0008134,GO:0016746,GO:0008270
Q04207	GO:0042805,GO:0033613,GO:0071532,GO:0003682,GO:0031490,GO:0001205,GO:0003677,GO:0003700,GO:0019899,GO:0042826,GO:0042802,GO:0051059,GO:0042301,GO:0044877,GO:0046982,GO:0042803,GO:0019901,GO:0047485,GO:0001077,GO:0001078,GO:0070491,GO:0000980,GO:0000978,GO:0000977,GO:0043565,GO:0000983,GO:0003705,GO:0008134,GO:0044212,GO:0031625
Q9JHD1	GO:0016407,GO:0003682,GO:0004861,GO:0004402,GO:0035035,GO:0042826,GO:0004468,GO:0061733,GO:0044877,GO:0019901,GO:0000977,GO:0003713,GO:0003712,GO:0008134
Q9WVB3	GO:0070491,GO:0003714
B9EHI3	GO:0005096
P36898	GO:0005524,GO:0019838,GO:0046872,GO:0004674,GO:0046332,GO:0005024,GO:0005025,GO:0004675
D3Z4R4	GO:0003677,GO:0003700,GO:0001078,GO:0000978,GO:0043565
P22361	GO:0003677,GO:0001228,GO:0003700,GO:0003690,GO:0046983,GO:0046982,GO:0042803,GO:0001077,GO:0000978,GO:0043565,GO:0001221,GO:0008134,GO:0044212
Q80W03	GO:0003682,GO:0034056,GO:0051219,GO:0042803
Q9JL10	
E0CXP6	
Q8VD21	
Q9D1C8	GO:0044877,GO:0043130
E9Q5M9	GO:0046872,GO:0003676
S4R1L6	GO:0046872,GO:0042803,GO:0001077,GO:0001078,GO:0000978,GO:0044212
E9Q7L6	GO:0003700,GO:0043565
O55144	GO:0043565
Q07279	GO:0003677,GO:0003700,GO:0047485,GO:0000987,GO:0000976,GO:0050699
E9QAP1	GO:0046872,GO:0003676
