Entry	Status	Gene ontology (cellular component)
A0A024R5S0	unreviewed	
O75553	reviewed	apical part of cell [GO:0045177]; brush border [GO:0005903]; cytosol [GO:0005829]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; perinuclear region of cytoplasm [GO:0048471]; postsynaptic density [GO:0014069]
P25788	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex [GO:0005839]; proteasome core complex, alpha-subunit complex [GO:0019773]; synapse [GO:0045202]
Q02446	reviewed	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]
Q8N9W6	reviewed	cytoplasm [GO:0005737]
Q93062	reviewed	cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; P-body [GO:0000932]
Q9NVV9	reviewed	fibrillar center [GO:0001650]; intracellular membrane-bounded organelle [GO:0043231]; nucleus [GO:0005634]; PML body [GO:0016605]
A0A024R6G0	unreviewed	
P50222	reviewed	cytoplasm [GO:0005737]; nuclear speck [GO:0016607]; nucleus [GO:0005634]
A0A024RA76	unreviewed	
O00560	reviewed	adherens junction [GO:0005912]; azurophil granule lumen [GO:0035578]; blood microparticle [GO:0072562]; cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; extracellular vesicle [GO:1903561]; focal adhesion [GO:0005925]; interleukin-5 receptor complex [GO:0005895]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; membrane [GO:0016020]; membrane raft [GO:0045121]; nuclear membrane [GO:0031965]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q14498	reviewed	microtubule cytoskeleton [GO:0015630]; microtubule organizing center [GO:0005815]; nuclear speck [GO:0016607]; nucleoplasm [GO:0005654]; protein-containing complex [GO:0032991]
Q8N9Q2	reviewed	
Q9NZ81	reviewed	cytosol [GO:0005829]; nucleoplasm [GO:0005654]
Q96HE8	reviewed	ciliary transition zone [GO:0035869]; integral component of membrane [GO:0016021]
P56705	reviewed	cell surface [GO:0009986]; cytoplasm [GO:0005737]; endocytic vesicle membrane [GO:0030666]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; extracellular matrix [GO:0031012]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; Golgi lumen [GO:0005796]; plasma membrane [GO:0005886]
A0A1B0GWI1	unreviewed	
O14770	reviewed	nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]
Q15323	reviewed	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; extracellular space [GO:0005615]; intermediate filament [GO:0005882]
Q8N3L3	reviewed	cytoplasm [GO:0005737]
Q9UBB9	reviewed	catalytic step 2 spliceosome [GO:0071013]; cytoplasm [GO:0005737]; extracellular matrix [GO:0031012]; nuclear chromosome, telomeric region [GO:0000784]; nuclear speck [GO:0016607]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; spliceosomal complex [GO:0005681]; U2-type post-mRNA release spliceosomal complex [GO:0071008]
A0AUZ9	reviewed	NSL complex [GO:0044545]
Q96CV9	reviewed	autophagosome [GO:0005776]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; recycling endosome membrane [GO:0055038]; trans-Golgi network [GO:0005802]
A0AV96	reviewed	nucleus [GO:0005634]
Q6P1W5	reviewed	
Q96LI6	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]
A0AVK6	reviewed	cytosol [GO:0005829]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]
Q01844	reviewed	cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
Q12800	reviewed	cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]
Q13643	reviewed	focal adhesion [GO:0005925]; nucleus [GO:0005634]; stress fiber [GO:0001725]; Z disc [GO:0030018]
Q8IUH5	reviewed	aggresome [GO:0016235]; cell junction [GO:0030054]; cytoplasmic vesicle membrane [GO:0030659]; Golgi apparatus [GO:0005794]; Golgi-associated vesicle membrane [GO:0030660]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; intracellular membrane-bounded organelle [GO:0043231]; presynaptic membrane [GO:0042734]
Q8N653	reviewed	Golgi apparatus [GO:0005794]
A0AVT1	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]
O15198	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; intracellular [GO:0005622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; SMAD protein complex [GO:0071141]; transcription factor complex [GO:0005667]
Q6NT76	reviewed	Cajal body [GO:0015030]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear body [GO:0016604]; nuclear chromosome, telomeric region [GO:0000784]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]
A0JLT2	reviewed	mediator complex [GO:0016592]; nuclear body [GO:0016604]; nucleus [GO:0005634]
F5CTF3	unreviewed	nucleus [GO:0005634]
P25963	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; I-kappaB/NF-kappaB complex [GO:0033256]; intracellular [GO:0005622]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P27707	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P28360	reviewed	nucleoplasm [GO:0005654]; nucleus [GO:0005634]
