Entry	Status	Gene ontology (molecular function)
A0A0K3AUU0	unreviewed	transferase activity [GO:0016740]
Q20062	unreviewed	catalytic activity [GO:0003824]
A0A0K3AUY4	unreviewed	
O16519	reviewed	
A0A0K3AV08	reviewed	ATP binding [GO:0005524]; MAP kinase kinase kinase activity [GO:0004709]; metal ion binding [GO:0046872]; protein kinase binding [GO:0019901]; protein kinase C binding [GO:0005080]; receptor tyrosine kinase binding [GO:0030971]; scaffold protein binding [GO:0097110]
J7SF93	unreviewed	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
O17583	reviewed	Rab GTPase binding [GO:0017137]
Q10457	reviewed	5-amino-4-imidazole carboxylate lyase activity [GO:0043727]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; phosphoribosylaminoimidazole carboxylase activity [GO:0004638]; phosphoribosylaminoimidazolesuccinocarboxamide synthase activity [GO:0004639]
Q45FX5	reviewed	metal ion binding [GO:0046872]; Rho guanyl-nucleotide exchange factor activity [GO:0005089]
Q9NA61	unreviewed	
A0A0K3AVK9	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]
P45896	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; transforming growth factor beta receptor, pathway-specific cytoplasmic mediator activity [GO:0030618]
A0A0K3AX46	unreviewed	zinc ion binding [GO:0008270]
Q21307	reviewed	ATP binding [GO:0005524]; JUN kinase kinase activity [GO:0008545]; MAP kinase kinase activity [GO:0004708]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]
Q9XXI0	unreviewed	
A0A0K3AY27	unreviewed	
Q9N537	unreviewed	protein phosphatase inhibitor activity [GO:0004864]
A0A0K3AYL9	unreviewed	
Q09390	reviewed	DNA binding, bending [GO:0008301]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]
