Entry	Status	Gene ontology (biological process)
A0A0B4JD44	unreviewed	response to endoplasmic reticulum stress [GO:0034976]
Q9V9N9	unreviewed	
Q9VNF8	unreviewed	basement membrane organization [GO:0071711]; chitin-based cuticle development [GO:0040003]; chitin-based larval cuticle pattern formation [GO:0035293]; COPII-coated vesicle budding [GO:0090114]; endoplasmic reticulum organization [GO:0007029]; Golgi organization [GO:0007030]; intracellular protein transport [GO:0006886]; larval chitin-based cuticle development [GO:0008363]; lumen formation, open tracheal system [GO:0035149]; maintenance of cell polarity [GO:0030011]; muscle attachment [GO:0016203]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of cuticle pigmentation [GO:0048081]; positive regulation of dendrite morphogenesis [GO:0050775]; positive regulation of extracellular matrix constituent secretion [GO:0003331]; positive regulation of GTPase activity [GO:0043547]; protein localization to cell surface [GO:0034394]; protein localization to plasma membrane [GO:0072659]; regulation of cell shape [GO:0008360]; regulation of COPII vesicle coating [GO:0003400]
A0A0B4JDA4	unreviewed	
Q9U4U5	unreviewed	activation of GTPase activity [GO:0090630]; regulation of Ras protein signal transduction [GO:0046578]; small GTPase mediated signal transduction [GO:0007264]
A0A0B4JDC9	unreviewed	cytoskeletal matrix organization at active zone [GO:0048789]; neuromuscular synaptic transmission [GO:0007274]; presynaptic active zone organization [GO:1990709]
Q8SX59	unreviewed	
Q9VCV9	unreviewed	muscle system process [GO:0003012]
Q9VDI5	unreviewed	multicellular organism reproduction [GO:0032504]
Q9VLS8	unreviewed	oligosaccharide biosynthetic process [GO:0009312]; protein glycosylation [GO:0006486]; protein N-linked glycosylation [GO:0006487]; synaptic target recognition [GO:0008039]
Q9VQW4	unreviewed	
A0A0B4K651	unreviewed	cellular water homeostasis [GO:0009992]; cell volume homeostasis [GO:0006884]; chloride transport [GO:0006821]
Q9VED8	unreviewed	apoptotic DNA fragmentation [GO:0006309]; DNA catabolic process [GO:0006308]; nurse cell apoptotic process [GO:0045476]
A0A0B4K692	reviewed	proteolysis [GO:0006508]; sperm competition [GO:0046692]
Q7KRS6	unreviewed	cilium assembly [GO:0060271]; intraciliary transport [GO:0042073]; non-motile cilium assembly [GO:1905515]; protein localization [GO:0008104]; sensory perception of sound [GO:0007605]
Q8MLW7	unreviewed	endoplasmic reticulum unfolded protein response [GO:0030968]; intestinal stem cell homeostasis [GO:0036335]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; regulation of translation in response to endoplasmic reticulum stress [GO:0036490]; response to endoplasmic reticulum stress [GO:0034976]; transcription by RNA polymerase II [GO:0006366]
A0A0B4K6E6	unreviewed	behavioral response to ethanol [GO:0048149]
A1Z8K2	unreviewed	regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]
A0A0B4K6P1	unreviewed	dendrite morphogenesis [GO:0048813]; nervous system development [GO:0007399]; regulation of transcription, DNA-templated [GO:0006355]; sensory perception of sound [GO:0007605]
P19538	reviewed	blastoderm segmentation [GO:0007350]; cuticle pattern formation [GO:0035017]; dendrite morphogenesis [GO:0048813]; eye morphogenesis [GO:0048592]; genital disc anterior/posterior pattern formation [GO:0035224]; heart formation [GO:0060914]; labial disc development [GO:0035217]; mucosal immune response [GO:0002385]; oogenesis [GO:0048477]; ovarian follicle cell development [GO:0030707]; positive regulation of epithelial cell differentiation [GO:0030858]; positive regulation of G1/S transition of mitotic cell cycle [GO:1900087]; positive regulation of TORC1 signaling [GO:1904263]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of mitotic cell cycle [GO:0007346]; regulation of transcription, DNA-templated [GO:0006355]; segment polarity determination [GO:0007367]; smoothened signaling pathway [GO:0007224]; spiracle morphogenesis, open tracheal system [GO:0035277]; wing disc anterior/posterior pattern formation [GO:0048100]
Q9VQQ9	reviewed	border follicle cell migration [GO:0007298]; branch fusion, open tracheal system [GO:0035147]; cellularization [GO:0007349]; endocytic recycling [GO:0032456]; exocyst assembly [GO:0001927]; Golgi to plasma membrane protein transport [GO:0043001]; Golgi to plasma membrane transport [GO:0006893]; innate immune response [GO:0045087]; mitotic cytokinesis [GO:0000281]; negative regulation of gene expression [GO:0010629]; neurotransmitter secretion [GO:0007269]; oocyte development [GO:0048599]; positive regulation of Golgi vesicle fusion to target membrane [GO:0048215]; protein localization to adherens junction [GO:0071896]; protein localization to cell cortex [GO:0072697]; protein localization to membrane [GO:0072657]; protein localization to plasma membrane [GO:0072659]; synapse maturation [GO:0060074]; synaptic vesicle docking [GO:0016081]; synaptic vesicle targeting [GO:0016080]; transcytosis [GO:0045056]; vesicle-mediated transport [GO:0016192]
A0A0B4K6W9	unreviewed	imaginal disc-derived wing margin morphogenesis [GO:0008587]; imaginal disc-derived wing vein morphogenesis [GO:0008586]; mRNA processing [GO:0006397]; negative regulation of oskar mRNA translation [GO:0007319]; oocyte microtubule cytoskeleton polarization [GO:0008103]; spermatid development [GO:0007286]; sperm individualization [GO:0007291]
B7Z143	unreviewed	regulation of gene expression [GO:0010468]
E2QCN0	unreviewed	multicellular organism development [GO:0007275]
F3YDG4	unreviewed	
O17144	unreviewed	positive regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045737]; positive regulation of phosphorylation of RNA polymerase II C-terminal domain [GO:1901409]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]
O46070	unreviewed	
O61661	reviewed	cell cycle arrest [GO:0007050]; cellularization [GO:0007349]; centrosome separation [GO:0051299]; DNA damage checkpoint [GO:0000077]; embryonic development via the syncytial blastoderm [GO:0001700]; female meiosis chromosome segregation [GO:0016321]; imaginal disc development [GO:0007444]; intracellular signal transduction [GO:0035556]; mitotic cell cycle checkpoint [GO:0007093]; mitotic DNA replication checkpoint [GO:0033314]; protein phosphorylation [GO:0006468]; regulation of syncytial blastoderm mitotic cell cycle [GO:0007348]; response to radiation [GO:0009314]; spindle assembly [GO:0051225]; wound healing [GO:0042060]
O76876	unreviewed	defense response to bacterium [GO:0042742]
O77051	reviewed	DNA endoreduplication [GO:0042023]; endomitotic cell cycle [GO:0007113]; G1/S transition of mitotic cell cycle [GO:0000082]; imaginal disc development [GO:0007444]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA replication [GO:0008156]; negative regulation of G1/S transition of mitotic cell cycle [GO:2000134]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; oogenesis [GO:0048477]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of cell cycle [GO:0051726]
P14785	reviewed	asymmetric neuroblast division [GO:0055059]; mitotic cell cycle [GO:0000278]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of mitotic metaphase/anaphase transition [GO:0045841]; peripheral nervous system development [GO:0007422]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell cycle G1/S phase transition [GO:1902808]; positive regulation of cell proliferation [GO:0008284]; protein phosphorylation [GO:0006468]; regulation of chromatin binding [GO:0035561]; regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0000079]; regulation of exit from mitosis [GO:0007096]; regulation of mitotic cell cycle, embryonic [GO:0009794]; regulation of mitotic nuclear division [GO:0007088]; syncytial blastoderm mitotic cell cycle [GO:0035186]
