Entry	Status	Gene ontology (molecular function)
A0A023PYF7	reviewed	
P39743	reviewed	actin binding [GO:0003779]; calmodulin binding [GO:0005516]; cytoskeletal protein binding [GO:0008092]; identical protein binding [GO:0042802]
A2P2R3	reviewed	glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360]
P04821	reviewed	Ras guanyl-nucleotide exchange factor activity [GO:0005088]
P38753	reviewed	protein domain specific binding [GO:0019904]; protein heterodimerization activity [GO:0046982]; ubiquitin binding [GO:0043130]
D6VPM8	reviewed	
P38723	reviewed	
Q12328	reviewed	mitochondrion targeting sequence binding [GO:0030943]; protein transmembrane transporter activity [GO:0008320]
D6VTK4	reviewed	mating-type alpha-factor pheromone receptor activity [GO:0004934]; pheromone binding [GO:0005550]
P32793	reviewed	actin filament binding [GO:0051015]; phosphatidylinositol binding [GO:0035091]
P32844	reviewed	protein homodimerization activity [GO:0042803]; SNARE binding [GO:0000149]
P53285	reviewed	
Q08646	reviewed	nucleic acid binding [GO:0003676]
Q08929	reviewed	O-acyltransferase activity [GO:0008374]; symporter activity [GO:0015293]
D6W196	reviewed	ATP:ADP antiporter activity [GO:0005471]; ATP transmembrane transporter activity [GO:0005347]; calcium ion binding [GO:0005509]
P29704	reviewed	farnesyl-diphosphate farnesyltransferase activity [GO:0004310]; squalene synthase activity [GO:0051996]
P53983	reviewed	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
O13297	reviewed	polynucleotide 5'-phosphatase activity [GO:0004651]
Q01159	reviewed	GTP binding [GO:0005525]; mRNA guanylyltransferase activity [GO:0004484]
O13329	reviewed	metal ion binding [GO:0046872]; rDNA spacer replication fork barrier binding [GO:0043110]
P06843	reviewed	DNA binding [GO:0003677]; DNA secondary structure binding [GO:0000217]; histone binding [GO:0042393]
P17123	reviewed	
P22216	reviewed	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein tyrosine kinase activity [GO:0004713]
P32605	reviewed	snRNA stem-loop binding [GO:0035614]; U1 snRNA binding [GO:0030619]
P32902	reviewed	structural constituent of ribosome [GO:0003735]
P38633	reviewed	transcription coactivator activity [GO:0003713]
P38987	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; protein-containing complex binding [GO:0044877]
P40089	reviewed	RNA binding [GO:0003723]
Q00916	reviewed	mRNA binding [GO:0003729]; U1 snRNA binding [GO:0030619]
Q03776	reviewed	RNA binding [GO:0003723]
Q12072	reviewed	
Q12457	reviewed	DNA binding [GO:0003677]
O13512	reviewed	
O13567	reviewed	
O13517	reviewed	
P40971	reviewed	proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]
O13518	reviewed	
P32841	reviewed	
O13519	reviewed	
P19657	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; proton-exporting ATPase activity, phosphorylative mechanism [GO:0008553]
P38260	reviewed	adenyl-nucleotide exchange factor activity [GO:0000774]
O13527	reviewed	DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
P53550	reviewed	chromatin binding [GO:0003682]; hydrolase activity [GO:0016787]; m7G(5')pppN diphosphatase activity [GO:0050072]; manganese ion binding [GO:0030145]; mRNA binding [GO:0003729]
O13530	reviewed	
P21825	reviewed	protein transporter activity [GO:0008565]
P39534	reviewed	
O13531	reviewed	
P39940	reviewed	phosphatidylinositol binding [GO:0035091]; ubiquitin binding [GO:0043130]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
P40568	reviewed	
P43582	reviewed	
Q02574	reviewed	DNA binding [GO:0003677]
Q06525	reviewed	RNA binding [GO:0003723]
O13532	reviewed	
P47128	reviewed	
O13535	reviewed	aspartic-type endopeptidase activity [GO:0004190]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; metal ion binding [GO:0046872]; peptidase activity [GO:0008233]; ribonuclease activity [GO:0004540]; RNA binding [GO:0003723]; RNA-directed DNA polymerase activity [GO:0003964]; RNA-DNA hybrid ribonuclease activity [GO:0004523]
P36006	reviewed	actin binding [GO:0003779]; ATP binding [GO:0005524]; microfilament motor activity [GO:0000146]; myosin binding [GO:0017022]
O13537	reviewed	
P03069	reviewed	chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; protein self-association [GO:0043621]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor binding [GO:0001085]; RNA polymerase II transcription regulator recruiting activity [GO:0001135]; sequence-specific DNA binding [GO:0043565]
P53541	reviewed	phospholipase A2 activity [GO:0004623]; phospholipase activity [GO:0004620]
O13539	reviewed	nucleic acid binding [GO:0003676]
P33441	reviewed	nucleic acid binding [GO:0003676]; protein-containing complex scaffold activity [GO:0032947]
P40014	reviewed	structural constituent of cytoskeleton [GO:0005200]
P47076	reviewed	DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; nucleotide binding [GO:0000166]
P53959	reviewed	
Q06410	reviewed	protein-containing complex scaffold activity [GO:0032947]; protein kinase activator activity [GO:0030295]; SNARE binding [GO:0000149]
Q08118	reviewed	
Q12124	reviewed	RNA polymerase II repressing transcription factor binding [GO:0001103]; RNA polymerase II transcription regulator recruiting activity [GO:0001135]
Q12262	reviewed	
O13540	reviewed	
P39547	reviewed	
O13543	reviewed	
P15380	reviewed	L-proline transmembrane transporter activity [GO:0015193]; neutral amino acid transmembrane transporter activity [GO:0015175]
P29055	reviewed	metal ion binding [GO:0046872]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II complex recruiting activity [GO:0001139]; TBP-class protein binding [GO:0017025]
P32603	reviewed	glucan exo-1,3-beta-glucosidase activity [GO:0004338]
Q02630	reviewed	ATPase binding [GO:0051117]; identical protein binding [GO:0042802]; nuclear localization sequence binding [GO:0008139]; RNA binding [GO:0003723]; structural constituent of nuclear pore [GO:0017056]
O13545	reviewed	
P37264	reviewed	
O13547	reviewed	structural constituent of cell wall [GO:0005199]
Q03761	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; protein-containing complex scaffold activity [GO:0032947]; protein heterodimerization activity [GO:0046982]; RNA polymerase II activating transcription factor binding [GO:0001102]; TBP-class protein binding [GO:0017025]
