Entry	Status	Gene ontology (biological process)
A2AQR4	unreviewed	
Q6PGF3	reviewed	androgen receptor signaling pathway [GO:0030521]; intracellular steroid hormone receptor signaling pathway [GO:0030518]; positive regulation of transcription, DNA-templated [GO:0045893]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]
Q99PM3	reviewed	transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]
B2RWS6	reviewed	animal organ morphogenesis [GO:0009887]; apoptotic process [GO:0006915]; B cell differentiation [GO:0030183]; cartilage development [GO:0051216]; cell cycle [GO:0007049]; cellular response to UV [GO:0034644]; circadian rhythm [GO:0007623]; fat cell differentiation [GO:0045444]; heart development [GO:0007507]; histone acetylation [GO:0016573]; histone H2B acetylation [GO:0043969]; histone H3 acetylation [GO:0043966]; histone H4 acetylation [GO:0043967]; internal peptidyl-lysine acetylation [GO:0018393]; internal protein amino acid acetylation [GO:0006475]; intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:0042771]; lung development [GO:0030324]; macrophage derived foam cell differentiation [GO:0010742]; megakaryocyte development [GO:0035855]; negative regulation of cell death [GO:0060548]; negative regulation of cellular metabolic process [GO:0031324]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of miRNA metabolic process [GO:2000629]; negative regulation of protein oligomerization [GO:0032460]; negative regulation of transcription by RNA polymerase II [GO:0000122]; N-terminal peptidyl-lysine acetylation [GO:0018076]; peptidyl-lysine acetylation [GO:0018394]; peptidyl-lysine butyrylation [GO:0140067]; peptidyl-lysine crotonylation [GO:0140066]; peptidyl-lysine propionylation [GO:0061921]; platelet formation [GO:0030220]; positive regulation by host of viral transcription [GO:0043923]; positive regulation of axon extension [GO:0045773]; positive regulation of cell death [GO:0010942]; positive regulation of cell growth [GO:0030307]; positive regulation of cell growth involved in cardiac muscle cell development [GO:0061051]; positive regulation of cell size [GO:0045793]; positive regulation of cellular metabolic process [GO:0031325]; positive regulation of collagen biosynthetic process [GO:0032967]; positive regulation of DNA binding [GO:0043388]; positive regulation of DNA-binding transcription factor activity [GO:0051091]; positive regulation of gene expression [GO:0010628]; positive regulation of gene expression, epigenetic [GO:0045815]; positive regulation of glycoprotein biosynthetic process [GO:0010560]; positive regulation of histone acetylation [GO:0035066]; positive regulation of muscle atrophy [GO:0014737]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein acetylation [GO:1901985]; positive regulation of protein binding [GO:0032092]; positive regulation of protein import into nucleus, translocation [GO:0033160]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of protein secretion [GO:0050714]; positive regulation of proteolysis [GO:0045862]; positive regulation of sarcomere organization [GO:0060298]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; positive regulation of translation [GO:0045727]; protein acetylation [GO:0006473]; protein destabilization [GO:0031648]; protein-DNA complex assembly [GO:0065004]; protein kinase B signaling [GO:0043491]; protein stabilization [GO:0050821]; regulation of androgen receptor signaling pathway [GO:0060765]; regulation of angiotensin metabolic process [GO:0060177]; regulation of transcription, DNA-templated [GO:0006355]; regulation of tubulin deacetylation [GO:0090043]; response to calcium ion [GO:0051592]; response to dexamethasone [GO:0071548]; response to drug [GO:0042493]; response to estrogen [GO:0043627]; response to glucose [GO:0009749]; response to hypoxia [GO:0001666]; skeletal muscle tissue development [GO:0007519]; somitogenesis [GO:0001756]
Q04207	reviewed	acetaldehyde metabolic process [GO:0006117]; aging [GO:0007568]; animal organ morphogenesis [GO:0009887]; cellular response to angiotensin [GO:1904385]; cellular response to hepatocyte growth factor stimulus [GO:0035729]; cellular response to hydrogen peroxide [GO:0070301]; cellular response to interleukin-1 [GO:0071347]; cellular response to interleukin-6 [GO:0071354]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to nicotine [GO:0071316]; cellular response to peptidoglycan [GO:0071224]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to vascular endothelial growth factor stimulus [GO:0035924]; chromatin organization [GO:0006325]; cytokine-mediated signaling pathway [GO:0019221]; defense response [GO:0006952]; hair follicle development [GO:0001942]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; inflammatory response [GO:0006954]; liver development [GO:0001889]; negative regulation of apoptotic process [GO:0043066]; negative regulation of extrinsic apoptotic signaling pathway [GO:2001237]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of pri-miRNA transcription by RNA polymerase II [GO:1902894]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein sumoylation [GO:0033234]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; NIK/NF-kappaB signaling [GO:0038061]; nucleotide-binding oligomerization domain containing 2 signaling pathway [GO:0070431]; positive regulation of cell proliferation [GO:0008284]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-12 biosynthetic process [GO:0045084]; positive regulation of miRNA metabolic process [GO:2000630]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of Schwann cell differentiation [GO:0014040]; positive regulation of T cell receptor signaling pathway [GO:0050862]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus [GO:1901522]; postsynapse to nucleus signaling pathway [GO:0099527]; pri-miRNA transcription by RNA polymerase II [GO:0061614]; regulation of DNA-templated transcription in response to stress [GO:0043620]; regulation of inflammatory response [GO:0050727]; regulation of NIK/NF-kappaB signaling [GO:1901222]; regulation of transcription, DNA-templated [GO:0006355]; response to amino acid [GO:0043200]; response to bacterium [GO:0009617]; response to cAMP [GO:0051591]; response to cobalamin [GO:0033590]; response to cytokine [GO:0034097]; response to insulin [GO:0032868]; response to interleukin-1 [GO:0070555]; response to morphine [GO:0043278]; response to muramyl dipeptide [GO:0032495]; response to muscle stretch [GO:0035994]; response to organic substance [GO:0010033]; response to progesterone [GO:0032570]; response to UV-B [GO:0010224]; transcription, DNA-templated [GO:0006351]; tumor necrosis factor-mediated signaling pathway [GO:0033209]
Q9JHD1	reviewed	cell cycle [GO:0007049]; cellular response to insulin stimulus [GO:0032869]; chromatin remodeling [GO:0006338]; heart development [GO:0007507]; histone acetylation [GO:0016573]; histone H3 acetylation [GO:0043966]; histone H3-K9 acetylation [GO:0043970]; internal peptidyl-lysine acetylation [GO:0018393]; limb development [GO:0060173]; negative regulation of cell proliferation [GO:0008285]; negative regulation of centriole replication [GO:0046600]; negative regulation of cyclin-dependent protein serine/threonine kinase activity [GO:0045736]; N-terminal peptidyl-lysine acetylation [GO:0018076]; peptidyl-lysine acetylation [GO:0018394]; positive regulation of blood vessel diameter [GO:0097755]; positive regulation of chromatin binding [GO:0035563]; positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter [GO:0035948]; positive regulation of histone H3-K14 acetylation [GO:0071442]; positive regulation of histone H3-K9 acetylation [GO:2000617]; positive regulation of neuron projection development [GO:0010976]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein acetylation [GO:0006473]; regulation of protein ADP-ribosylation [GO:0010835]; regulation of transcription, DNA-templated [GO:0006355]; rhythmic process [GO:0048511]
Q9WVB3	reviewed	embryonic process involved in female pregnancy [GO:0060136]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; positive regulation of neurogenesis [GO:0050769]; positive regulation of neuron differentiation [GO:0045666]; regulation of transcription, DNA-templated [GO:0006355]
B9EHI3	unreviewed	signal transduction [GO:0007165]
P36898	reviewed	BMP signaling pathway [GO:0030509]; camera-type eye development [GO:0043010]; cartilage condensation [GO:0001502]; cell differentiation [GO:0030154]; cellular response to BMP stimulus [GO:0071773]; cellular response to growth factor stimulus [GO:0071363]; chondrocyte development [GO:0002063]; chondrocyte differentiation [GO:0002062]; dorsal/ventral pattern formation [GO:0009953]; endochondral bone morphogenesis [GO:0060350]; estrogen biosynthetic process [GO:0006703]; eye development [GO:0001654]; inflammatory response [GO:0006954]; limb morphogenesis [GO:0035108]; negative regulation of chondrocyte proliferation [GO:1902731]; ovarian cumulus expansion [GO:0001550]; ovulation cycle [GO:0042698]; pattern specification process [GO:0007389]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cartilage development [GO:0061036]; positive regulation of cell differentiation [GO:0045597]; positive regulation of chondrocyte differentiation [GO:0032332]; positive regulation of extrinsic apoptotic signaling pathway via death domain receptors [GO:1902043]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein phosphorylation [GO:0006468]; proteoglycan biosynthetic process [GO:0030166]; retina development in camera-type eye [GO:0060041]; retinal ganglion cell axon guidance [GO:0031290]; skeletal system development [GO:0001501]; transforming growth factor beta receptor signaling pathway [GO:0007179]; transmembrane receptor protein serine/threonine kinase signaling pathway [GO:0007178]
D3Z4R4	unreviewed	cell differentiation [GO:0030154]; central nervous system myelination [GO:0022010]; endocrine pancreas development [GO:0031018]; negative regulation of cell fate commitment [GO:0010454]; negative regulation of glial cell differentiation [GO:0045686]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuromuscular process controlling balance [GO:0050885]; oligodendrocyte differentiation [GO:0048709]; positive regulation of cell fate commitment [GO:0010455]; positive regulation of glial cell differentiation [GO:0045687]; regulation of myelination [GO:0031641]; regulation of transcription from RNA polymerase II promoter involved in spinal cord motor neuron fate specification [GO:0021912]; regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification [GO:0021913]
