Entry	Status	Gene ontology (biological process)
A0A0K3AUU0	unreviewed	
Q20062	unreviewed	
A0A0K3AUY4	unreviewed	
O16519	reviewed	cell migration involved in gastrulation [GO:0042074]; establishment of mitotic spindle orientation [GO:0000132]; regulation of DNA double-strand break processing [GO:1903775]; regulation of histone H2B conserved C-terminal lysine ubiquitination [GO:2001173]; regulation of mitotic cell cycle [GO:0007346]
A0A0K3AV08	reviewed	activation of MAPK activity [GO:0000187]; axon regeneration [GO:0031103]; defense response to Gram-negative bacterium [GO:0050829]; determination of adult lifespan [GO:0008340]; p38MAPK cascade [GO:0038066]; positive regulation of axon extension involved in regeneration [GO:0048691]; positive regulation of axon regeneration [GO:0048680]; positive regulation of protein phosphorylation [GO:0001934]; protein phosphorylation [GO:0006468]; response to copper ion [GO:0046688]; response to starvation [GO:0042594]
J7SF93	unreviewed	transcription, DNA-templated [GO:0006351]
O17583	reviewed	chemical synaptic transmission [GO:0007268]; nervous system development [GO:0007399]; neuron-neuron synaptic transmission [GO:0007270]; positive regulation of backward locomotion [GO:1905852]; positive regulation of vulval development [GO:0040026]; protein localization [GO:0008104]; protein localization to basolateral plasma membrane [GO:1903361]; protein localization to early endosome [GO:1902946]; receptor localization to synapse [GO:0097120]; regulation of backward locomotion [GO:0043058]; response to mechanical stimulus [GO:0009612]; sensory perception of touch [GO:0050975]
Q10457	reviewed	'de novo' IMP biosynthetic process [GO:0006189]
Q45FX5	reviewed	intracellular signal transduction [GO:0035556]; negative regulation of Notch signaling pathway [GO:0045746]; positive regulation of locomotion [GO:0040017]; regulation of Rho protein signal transduction [GO:0035023]; regulation of vulval development [GO:0040028]
Q9NA61	unreviewed	
A0A0K3AVK9	unreviewed	transforming growth factor beta receptor signaling pathway [GO:0007179]
P45896	reviewed	BMP signaling pathway [GO:0030509]; defense response to fungus [GO:0050832]; innate immune response [GO:0045087]; nematode larval development [GO:0002119]; nematode male tail tip morphogenesis [GO:0045138]; pharynx development [GO:0060465]; positive regulation of cell size [GO:0045793]; positive regulation of multicellular organism growth [GO:0040018]; positive regulation of organ growth [GO:0046622]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transforming growth factor beta receptor signaling pathway [GO:0030511]; regulation of mesodermal cell fate specification [GO:0042661]; transforming growth factor beta receptor signaling pathway involved in regulation of multicellular organism growth [GO:1901048]
A0A0K3AX46	unreviewed	
Q21307	reviewed	activation of JUN kinase activity [GO:0007257]; activation of MAPK activity [GO:0000187]; activation of protein kinase activity [GO:0032147]; determination of adult lifespan [GO:0008340]; male meiotic nuclear division [GO:0007140]; MAPK cascade [GO:0000165]; oocyte development [GO:0048599]; p38MAPK cascade [GO:0038066]; positive regulation of axon extension involved in regeneration [GO:0048691]; protein phosphorylation [GO:0006468]; regulation of growth rate [GO:0040009]; reproduction [GO:0000003]; response to cadmium ion [GO:0046686]; response to copper ion [GO:0046688]; response to starvation [GO:0042594]; response to temperature stimulus [GO:0009266]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]; stress response to copper ion [GO:1990169]
Q9XXI0	unreviewed	
A0A0K3AY27	unreviewed	
Q9N537	unreviewed	cell division [GO:0051301]; centrosome cycle [GO:0007098]; chromosome separation [GO:0051304]; regulation of centrosome duplication [GO:0010824]; regulation of phosphoprotein phosphatase activity [GO:0043666]; regulation of signal transduction [GO:0009966]
A0A0K3AYL9	unreviewed	
Q09390	reviewed	cell fate specification [GO:0001708]; chromatin remodeling [GO:0006338]; DNA recombination [GO:0006310]; gonad development [GO:0008406]; positive regulation of innate immune response [GO:0045089]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; vulval development [GO:0040025]; Wnt signaling pathway [GO:0016055]
A0A0M7RF51	unreviewed	
Q23158	unreviewed	
A0A0S4XR43	unreviewed	regulation of transcription, DNA-templated [GO:0006355]
G5EGG0	unreviewed	ER to Golgi vesicle-mediated transport [GO:0006888]; Golgi vesicle docking [GO:0048211]; intracellular protein transport [GO:0006886]; membrane fusion [GO:0061025]; transcytosis [GO:0045056]; vesicle fusion with Golgi apparatus [GO:0048280]
H2L0F6	unreviewed	negative regulation of Ras protein signal transduction [GO:0046580]; negative regulation of vulval development [GO:0040027]
O01482	unreviewed	
O02108	reviewed	protein folding [GO:0006457]; protein stabilization [GO:0050821]
Q18012	unreviewed	
Q18967	reviewed	formation of cytoplasmic translation initiation complex [GO:0001732]; negative regulation of transcription by RNA polymerase II [GO:0000122]; translation [GO:0006412]; translational initiation [GO:0006413]
Q19872	unreviewed	
Q20678	reviewed	exocyst localization [GO:0051601]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; protein transport [GO:0015031]
Q22886	unreviewed	pharyngeal gland morphogenesis [GO:1905905]
Q9U304	unreviewed	
A0A131MCL4	unreviewed	neuron development involved in amphid sensory organ development [GO:0003388]; positive regulation of gene expression [GO:0010628]
O45521	reviewed	
Q2XMY3	unreviewed	
A0FLQ8	unreviewed	endoplasmic reticulum unfolded protein response [GO:0030968]; nematode larval development [GO:0002119]; positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response [GO:0006990]; response to tunicamycin [GO:1904576]
G5ECU1	reviewed	female sex differentiation [GO:0046660]; negative regulation of centrosome duplication [GO:0010826]; negative regulation of DNA damage response, signal transduction by p53 class mediator [GO:0043518]; negative regulation of gene expression [GO:0010629]; negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage [GO:1902230]; nervous system development [GO:0007399]; positive regulation of apoptotic process [GO:0043065]; regulation of protein stability [GO:0031647]; ubiquitin-dependent protein catabolic process [GO:0006511]
O01488	unreviewed	lysosome localization [GO:0032418]
A0PD34	unreviewed	protein homooligomerization [GO:0051260]
G5ED33	unreviewed	actin filament bundle assembly [GO:0051017]; barbed-end actin filament capping [GO:0051016]; digestive tract morphogenesis [GO:0048546]; embryonic morphogenesis [GO:0048598]; epidermis morphogenesis [GO:0048730]; intermediate filament organization [GO:0045109]; maintenance of protein location [GO:0045185]; nematode larval development [GO:0002119]; regulation of Rho protein signal transduction [GO:0035023]; Rho protein signal transduction [GO:0007266]
A0SQM0	reviewed	regulation of transcription, DNA-templated [GO:0006355]
Q22289	reviewed	embryonic body morphogenesis [GO:0010172]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]
A1EHR5	unreviewed	potassium ion transmembrane transport [GO:0071805]
O17917	reviewed	DNA repair [GO:0006281]; protein ubiquitination [GO:0016567]; snoRNA splicing [GO:0034247]
A3QM99	unreviewed	
A3QMB3	unreviewed	
A4UVJ7	unreviewed	steroid biosynthetic process [GO:0006694]
