Entry	Status	Gene ontology (biological process)
A0A023PYF7	reviewed	
P39743	reviewed	actin cortical patch localization [GO:0051666]; endocytosis [GO:0006897]; lipid tube assembly [GO:0060988]; plasma membrane tubulation [GO:0097320]; vesicle-mediated transport [GO:0016192]
A2P2R3	reviewed	fructose 6-phosphate metabolic process [GO:0006002]; fungal-type cell wall chitin biosynthetic process [GO:0034221]; glutamine metabolic process [GO:0006541]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine biosynthetic process [GO:0006048]; UDP-N-acetylglucosamine metabolic process [GO:0006047]
P04821	reviewed	cell cycle [GO:0007049]; cell division [GO:0051301]; Ras protein signal transduction [GO:0007265]; regulation of cell cycle [GO:0051726]; replicative cell aging [GO:0001302]; traversing start control point of mitotic cell cycle [GO:0007089]
P38753	reviewed	ATP export [GO:1904669]; late endosome to vacuole transport [GO:0045324]; multivesicular body sorting pathway [GO:0071985]; positive regulation of protein maturation [GO:1903319]; protein secretion [GO:0009306]; protein targeting to vacuole [GO:0006623]
D6VPM8	reviewed	vesicle organization [GO:0016050]
P38723	reviewed	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]
Q12328	reviewed	protein import into mitochondrial inner membrane [GO:0045039]
D6VTK4	reviewed	cell projection assembly [GO:0030031]; cytogamy [GO:0000755]; pheromone-dependent signal transduction involved in conjugation with cellular fusion [GO:0000750]; positive regulation of conjugation with cellular fusion [GO:0031139]; protein homooligomerization [GO:0051260]; receptor transactivation [GO:0035624]
P32793	reviewed	actin cortical patch localization [GO:0051666]; actin cytoskeleton organization [GO:0030036]; actin filament bundle assembly [GO:0051017]; actin filament organization [GO:0007015]; endocytosis [GO:0006897]; regulation of ruffle assembly [GO:1900027]
P32844	reviewed	exocyst localization [GO:0051601]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; negative regulation of SNARE complex assembly [GO:0035544]; protein transport [GO:0015031]; vesicle tethering involved in exocytosis [GO:0090522]
P53285	reviewed	protein transport [GO:0015031]
Q08646	reviewed	ascospore formation [GO:0030437]; ascospore wall assembly [GO:0030476]; positive regulation of protein autophosphorylation [GO:0031954]
Q08929	reviewed	glycerol transport [GO:0015793]
D6W196	reviewed	ADP transport [GO:0015866]; ATP transport [GO:0015867]; mitochondrial transport [GO:0006839]
P29704	reviewed	ergosterol biosynthetic process [GO:0006696]; farnesyl diphosphate metabolic process [GO:0045338]; isoprenoid biosynthetic process [GO:0008299]
