Entry	Status	Gene ontology (molecular function)
A2AQR4	unreviewed	nucleic acid binding [GO:0003676]
Q6PGF3	reviewed	catalytic activity [GO:0003824]; signaling receptor activity [GO:0038023]; thyroid hormone receptor binding [GO:0046966]; thyroid hormone receptor coactivator activity [GO:0030375]; transcription coregulator activity [GO:0003712]
Q99PM3	reviewed	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; RNA polymerase II repressing transcription factor binding [GO:0001103]; TBP-class protein binding [GO:0017025]; transcription factor binding [GO:0008134]
B2RWS6	reviewed	acetyltransferase activity [GO:0016407]; activating transcription factor binding [GO:0033613]; androgen receptor binding [GO:0050681]; antigen binding [GO:0003823]; beta-catenin binding [GO:0008013]; bHLH transcription factor binding [GO:0043425]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; damaged DNA binding [GO:0003684]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; glucocorticoid receptor binding [GO:0035259]; histone acetyltransferase activity [GO:0004402]; histone butyryltransferase activity [GO:0140069]; histone crotonyltransferase activity [GO:0140068]; lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]; mitogen-activated protein kinase binding [GO:0051019]; NF-kappaB binding [GO:0051059]; nuclear hormone receptor binding [GO:0035257]; p53 binding [GO:0002039]; peptide butyryltransferase activity [GO:0140065]; peroxisome proliferator activated receptor binding [GO:0042975]; pre-mRNA intronic binding [GO:0097157]; promoter-specific chromatin binding [GO:1990841]; protein antigen binding [GO:1990405]; protein-containing complex binding [GO:0044877]; protein C-terminus binding [GO:0008022]; protein kinase binding [GO:0019901]; protein propionyltransferase activity [GO:0061920]; proximal promoter sequence-specific DNA binding [GO:0000987]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor binding [GO:0001085]; SMAD binding [GO:0046332]; STAT family protein binding [GO:0097677]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; transferase activity, transferring acyl groups [GO:0016746]; zinc ion binding [GO:0008270]
Q04207	reviewed	actinin binding [GO:0042805]; activating transcription factor binding [GO:0033613]; ankyrin repeat binding [GO:0071532]; chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; enzyme binding [GO:0019899]; histone deacetylase binding [GO:0042826]; identical protein binding [GO:0042802]; NF-kappaB binding [GO:0051059]; phosphate ion binding [GO:0042301]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein N-terminus binding [GO:0047485]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; repressing transcription factor binding [GO:0070491]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II core promoter sequence-specific DNA binding [GO:0000983]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcription factor binding [GO:0008134]; transcription regulatory region DNA binding [GO:0044212]; ubiquitin protein ligase binding [GO:0031625]
Q9JHD1	reviewed	acetyltransferase activity [GO:0016407]; chromatin binding [GO:0003682]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; histone acetyltransferase activity [GO:0004402]; histone acetyltransferase binding [GO:0035035]; histone deacetylase binding [GO:0042826]; lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; protein-containing complex binding [GO:0044877]; protein kinase binding [GO:0019901]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; transcription factor binding [GO:0008134]
Q9WVB3	reviewed	repressing transcription factor binding [GO:0070491]; transcription corepressor activity [GO:0003714]
B9EHI3	unreviewed	GTPase activator activity [GO:0005096]
P36898	reviewed	ATP binding [GO:0005524]; growth factor binding [GO:0019838]; metal ion binding [GO:0046872]; protein serine/threonine kinase activity [GO:0004674]; SMAD binding [GO:0046332]; transforming growth factor beta-activated receptor activity [GO:0005024]; transforming growth factor beta receptor activity, type I [GO:0005025]; transmembrane receptor protein serine/threonine kinase activity [GO:0004675]
D3Z4R4	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
