Entry	Status	Gene ontology (molecular function)
A0A0B4JD44	unreviewed	
Q9V9N9	unreviewed	
Q9VNF8	unreviewed	GTPase activator activity [GO:0005096]; zinc ion binding [GO:0008270]
A0A0B4JDA4	unreviewed	
Q9U4U5	unreviewed	Ral guanyl-nucleotide exchange factor activity [GO:0008321]; Ras GTPase binding [GO:0017016]
A0A0B4JDC9	unreviewed	
Q8SX59	unreviewed	
Q9VCV9	unreviewed	
Q9VDI5	unreviewed	calcium ion binding [GO:0005509]
Q9VLS8	unreviewed	acetylgalactosaminyltransferase activity [GO:0008376]; UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity [GO:0008499]
Q9VQW4	unreviewed	
A0A0B4K651	unreviewed	chloride channel activity [GO:0005254]; intracellular calcium activated chloride channel activity [GO:0005229]; volume-sensitive chloride channel activity [GO:0072320]
Q9VED8	unreviewed	deoxyribonuclease II activity [GO:0004531]; endodeoxyribonuclease activity [GO:0004520]
A0A0B4K692	reviewed	endopeptidase activity [GO:0004175]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]
Q7KRS6	unreviewed	kinesin binding [GO:0019894]
Q8MLW7	unreviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
A0A0B4K6E6	unreviewed	
A1Z8K2	unreviewed	basal RNA polymerase II transcription machinery binding [GO:0001099]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; transcription coactivator activity [GO:0003713]
A0A0B4K6P1	unreviewed	sequence-specific DNA binding [GO:0043565]
P19538	reviewed	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; transcription regulatory region DNA binding [GO:0044212]
Q9VQQ9	reviewed	Rab GTPase binding [GO:0017137]
A0A0B4K6W9	unreviewed	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; translation repressor activity, mRNA regulatory element binding [GO:0000900]
B7Z143	unreviewed	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]
E2QCN0	unreviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; protein dimerization activity [GO:0046983]
F3YDG4	unreviewed	
O17144	unreviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]
O46070	unreviewed	
O61661	reviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]
O76876	unreviewed	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; poly(A) binding [GO:0008143]; poly(U) RNA binding [GO:0008266]; RNA binding [GO:0003723]
O77051	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; protein heterodimerization activity [GO:0046982]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II regulatory region DNA binding [GO:0001012]; sequence-specific DNA binding [GO:0043565]; transcription factor binding [GO:0008134]
P14785	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
Q24159	unreviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; protein kinase binding [GO:0019901]
Q7JZB4	reviewed	GTP binding [GO:0005525]; mannose-1-phosphate guanylyltransferase activity [GO:0004475]
Q7KT57	unreviewed	
Q8INB9	reviewed	ATP binding [GO:0005524]; phosphatidylinositol binding [GO:0035091]; protein serine/threonine kinase activity [GO:0004674]
Q95TJ9	reviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; DNA binding [GO:0003677]; protein kinase binding [GO:0019901]; protein phosphatase inhibitor activity [GO:0004864]
Q961D1	unreviewed	cyclin-dependent protein serine/threonine kinase regulator activity [GO:0016538]; transferase activity [GO:0016740]
Q9I7I7	reviewed	histone deacetylase activity [GO:0004407]; NAD+ binding [GO:0070403]; NAD-dependent histone deacetylase activity [GO:0017136]; zinc ion binding [GO:0008270]
Q9VEH1	unreviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine/tyrosine kinase activity [GO:0004712]
