Entry	Status	Gene ontology (molecular function)
A0A024R5S0	unreviewed	
O75553	reviewed	phosphatidylinositol 3-kinase binding [GO:0043548]
P25788	reviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]; ubiquitin protein ligase binding [GO:0031625]
Q02446	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]
Q8N9W6	reviewed	mRNA 3'-UTR binding [GO:0003730]; translation activator activity [GO:0008494]
Q93062	reviewed	poly(A) binding [GO:0008143]; protein homodimerization activity [GO:0042803]; RNA binding [GO:0003723]; snRNA stem-loop binding [GO:0035614]; transcription coactivator activity [GO:0003713]
Q9NVV9	reviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
A0A024R6G0	unreviewed	
P50222	reviewed	distal enhancer DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001205]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
A0A024RA76	unreviewed	identical protein binding [GO:0042802]
O00560	reviewed	cytoskeletal adaptor activity [GO:0008093]; frizzled binding [GO:0005109]; identical protein binding [GO:0042802]; interleukin-5 receptor binding [GO:0005137]; phosphatidylinositol-4,5-bisphosphate binding [GO:0005546]; protein heterodimerization activity [GO:0046982]; protein N-terminus binding [GO:0047485]; syndecan binding [GO:0045545]
Q14498	reviewed	RNA binding [GO:0003723]
Q8N9Q2	reviewed	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
Q9NZ81	reviewed	
Q96HE8	reviewed	
P56705	reviewed	frizzled binding [GO:0005109]; receptor ligand activity [GO:0048018]; transcription corepressor activity [GO:0003714]
A0A1B0GWI1	unreviewed	
O14770	reviewed	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; proximal promoter DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001077]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription coregulator activity [GO:0003712]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
Q15323	reviewed	structural constituent of cytoskeleton [GO:0005200]
Q8N3L3	reviewed	syntaxin binding [GO:0019905]
Q9UBB9	reviewed	nucleic acid binding [GO:0003676]
A0AUZ9	reviewed	histone acetyltransferase binding [GO:0035035]
