Entry	Status	Gene ontology (cellular component)
A0A023PYF7	reviewed	
P39743	reviewed	actin cortical patch [GO:0030479]; mating projection tip [GO:0043332]; Rvs161p-Rvs167p complex [GO:1990528]
A2P2R3	reviewed	
P04821	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; plasma membrane [GO:0005886]
P38753	reviewed	endosome [GO:0005768]; endosome membrane [GO:0010008]; ESCRT-0 complex [GO:0033565]; protein-containing complex [GO:0032991]
D6VPM8	reviewed	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P38723	reviewed	endosome [GO:0005768]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]
Q12328	reviewed	cytosol [GO:0005829]; integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]
D6VTK4	reviewed	G protein-coupled receptor homodimeric complex [GO:0038038]; integral component of plasma membrane [GO:0005887]
P32793	reviewed	actin cortical patch [GO:0030479]; ruffle membrane [GO:0032587]
P32844	reviewed	cellular bud neck [GO:0005935]; cellular bud tip [GO:0005934]; exocyst [GO:0000145]
P53285	reviewed	integral component of membrane [GO:0016021]
Q08646	reviewed	ascospore wall [GO:0005619]
Q08929	reviewed	integral component of membrane [GO:0016021]; membrane [GO:0016020]
D6W196	reviewed	integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]
P29704	reviewed	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]
P53983	reviewed	Asi complex [GO:0097658]; integral component of membrane [GO:0016021]; nuclear inner membrane [GO:0005637]
O13297	reviewed	mRNA cap methyltransferase complex [GO:0031533]
Q01159	reviewed	mRNA cap methyltransferase complex [GO:0031533]; nucleus [GO:0005634]
O13329	reviewed	nucleolus [GO:0005730]; rDNA heterochromatin [GO:0033553]
P06843	reviewed	cytosol [GO:0005829]; nucleus [GO:0005634]
P17123	reviewed	nucleolus [GO:0005730]; nucleus [GO:0005634]
P22216	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nucleus [GO:0005634]
P32605	reviewed	U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
P32902	reviewed	mitochondrial small ribosomal subunit [GO:0005763]
P38633	reviewed	core mediator complex [GO:0070847]; mediator complex [GO:0016592]
P38987	reviewed	spindle pole body [GO:0005816]
P40089	reviewed	Lsm1-7-Pat1 complex [GO:1990726]; nucleolus [GO:0005730]; small nucleolar ribonucleoprotein complex [GO:0005732]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U6 snRNP [GO:0005688]
Q00916	reviewed	commitment complex [GO:0000243]; U12-type spliceosomal complex [GO:0005689]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
Q03776	reviewed	commitment complex [GO:0000243]; U1 snRNP [GO:0005685]; U2-type prespliceosome [GO:0071004]
Q12072	reviewed	Isw1b complex [GO:0036437]
Q12457	reviewed	nucleolus [GO:0005730]; rDNA heterochromatin [GO:0033553]
O13512	reviewed	integral component of membrane [GO:0016021]
O13567	reviewed	integral component of membrane [GO:0016021]
O13517	reviewed	
P40971	reviewed	nucleus [GO:0005634]
O13518	reviewed	integral component of membrane [GO:0016021]
P32841	reviewed	condensed nuclear chromosome [GO:0000794]
O13519	reviewed	
P19657	reviewed	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]
P38260	reviewed	cytoplasm [GO:0005737]; cytosol [GO:0005829]
O13527	reviewed	cytoplasm [GO:0005737]; nucleus [GO:0005634]; retrotransposon nucleocapsid [GO:0000943]
P53550	reviewed	cytoplasm [GO:0005737]; cytoplasmic side of membrane [GO:0098562]; Dcp1-Dcp2 complex [GO:0098745]; nucleus [GO:0005634]; P-body [GO:0000932]
O13530	reviewed	integral component of membrane [GO:0016021]
P21825	reviewed	integral component of endoplasmic reticulum membrane [GO:0030176]; Sec62/Sec63 complex [GO:0031207]
P39534	reviewed	
O13531	reviewed	
